DATAFLOW,LAST UPDATE,freq,unit,sex,age,citizen,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 19 years,Total,Euro area – 20 countries (from 2023),2011-Q4,2660.1,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 19 years,Total,Euro area – 20 countries (from 2023),2012-Q1,2479.3,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 19 years,Total,Euro area – 20 countries (from 2023),2012-Q2,2400.8,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 19 years,Total,Euro area – 20 countries (from 2023),2012-Q3,2681.3,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 19 years,Total,Euro area – 20 countries (from 2023),2012-Q4,2492.0,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 19 years,Total,Euro area – 20 countries (from 2023),2013-Q1,2362.2,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 19 years,Total,Euro area – 20 countries (from 2023),2013-Q2,2429.5,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 19 years,Total,Euro area – 20 countries (from 2023),2013-Q3,2633.2,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 19 years,Total,Euro area – 20 countries (from 2023),2013-Q4,2462.9,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 19 years,Total,Euro area – 20 countries (from 2023),2014-Q1,2367.9,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 19 years,Total,Euro area – 20 countries (from 2023),2014-Q2,2333.4,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 19 years,Total,Euro area – 20 countries (from 2023),2014-Q3,2574.0,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 19 years,Total,Euro area – 20 countries (from 2023),2014-Q4,2468.3,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 19 years,Total,Euro area – 20 countries (from 2023),2015-Q1,2396.1,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 19 years,Total,Euro area – 20 countries (from 2023),2015-Q2,2334.0,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 19 years,Total,Euro area – 20 countries (from 2023),2015-Q3,2598.4,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 19 years,Total,Euro area – 20 countries (from 2023),2015-Q4,2495.9,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 19 years,Total,Euro area – 20 countries (from 2023),2016-Q1,2454.2,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 19 years,Total,Euro area – 20 countries (from 2023),2016-Q2,2495.4,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 19 years,Total,Euro area – 20 countries (from 2023),2016-Q3,2792.1,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 19 years,Total,Euro area – 20 countries (from 2023),2016-Q4,2658.7,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 19 years,Total,Euro area – 20 countries (from 2023),2017-Q1,2541.3,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 19 years,Total,Euro area – 20 countries (from 2023),2017-Q2,2577.0,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 19 years,Total,Euro area – 20 countries (from 2023),2017-Q3,2895.9,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 19 years,Total,Euro area – 20 countries (from 2023),2017-Q4,2799.1,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 19 years,Total,Euro area – 20 countries (from 2023),2018-Q1,2693.6,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 19 years,Total,Euro area – 20 countries (from 2023),2018-Q2,2673.9,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 19 years,Total,Euro area – 20 countries (from 2023),2018-Q3,2985.2,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 19 years,Total,Euro area – 20 countries (from 2023),2018-Q4,2858.2,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 19 years,Total,Euro area – 20 countries (from 2023),2019-Q1,2779.1,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 19 years,Total,Euro area – 20 countries (from 2023),2019-Q2,2747.3,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 19 years,Total,Euro area – 20 countries (from 2023),2019-Q3,3023.2,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 19 years,Total,Euro area – 20 countries (from 2023),2019-Q4,2906.1,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 19 years,Total,Euro area – 20 countries (from 2023),2020-Q1,2811.2,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 19 years,Total,Euro area – 20 countries (from 2023),2020-Q2,2457.9,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 19 years,Total,Euro area – 20 countries (from 2023),2020-Q3,2745.3,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 19 years,Total,Euro area – 20 countries (from 2023),2020-Q4,2584.5,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 19 years,Total,Euro area – 20 countries (from 2023),2021-Q1,2494.2,b,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 19 years,Total,Euro area – 20 countries (from 2023),2021-Q2,2596.3,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 19 years,Total,Euro area – 20 countries (from 2023),2021-Q3,3143.7,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 19 years,Total,Euro area – 20 countries (from 2023),2021-Q4,3004.7,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 19 years,Total,Euro area – 20 countries (from 2023),2022-Q1,2934.0,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 19 years,Total,Euro area – 20 countries (from 2023),2022-Q2,3052.7,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 19 years,Total,Euro area – 20 countries (from 2023),2022-Q3,3371.0,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 19 years,Total,Euro area – 20 countries (from 2023),2022-Q4,3258.1,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 19 years,Total,Euro area – 20 countries (from 2023),2023-Q1,3107.0,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 19 years,Total,Euro area – 20 countries (from 2023),2023-Q2,3142.8,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 19 years,Total,Euro area – 20 countries (from 2023),2023-Q3,3457.4,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 19 years,Total,Euro area – 20 countries (from 2023),2023-Q4,3350.4,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 19 years,Total,Euro area – 20 countries (from 2023),2024-Q1,3142.0,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 19 years,Total,Euro area – 20 countries (from 2023),2024-Q2,3127.8,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 19 years,Total,Euro area – 20 countries (from 2023),2024-Q3,3429.0,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 19 years,Total,Euro area – 20 countries (from 2023),2024-Q4,3305.6,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 19 years,Total,Euro area – 20 countries (from 2023),2025-Q1,3191.4,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 19 years,Total,Euro area – 20 countries (from 2023),2025-Q2,3220.5,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 24 years,Total,Euro area – 20 countries (from 2023),2005-Q1,13753.9,b,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 24 years,Total,Euro area – 20 countries (from 2023),2005-Q2,13982.0,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 24 years,Total,Euro area – 20 countries (from 2023),2005-Q3,14462.5,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 24 years,Total,Euro area – 20 countries (from 2023),2005-Q4,14100.6,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 24 years,Total,Euro area – 20 countries (from 2023),2006-Q1,13889.8,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 24 years,Total,Euro area – 20 countries (from 2023),2006-Q2,14104.2,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 24 years,Total,Euro area – 20 countries (from 2023),2006-Q3,14629.4,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 24 years,Total,Euro area – 20 countries (from 2023),2006-Q4,14138.1,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 24 years,Total,Euro area – 20 countries (from 2023),2007-Q1,14175.6,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 24 years,Total,Euro area – 20 countries (from 2023),2007-Q2,14402.1,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 24 years,Total,Euro area – 20 countries (from 2023),2007-Q3,15114.7,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 24 years,Total,Euro area – 20 countries (from 2023),2007-Q4,14560.9,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 24 years,Total,Euro area – 20 countries (from 2023),2008-Q1,14407.7,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 24 years,Total,Euro area – 20 countries (from 2023),2008-Q2,14351.2,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 24 years,Total,Euro area – 20 countries (from 2023),2008-Q3,14827.2,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 24 years,Total,Euro area – 20 countries (from 2023),2008-Q4,14004.6,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 24 years,Total,Euro area – 20 countries (from 2023),2009-Q1,13363.0,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 24 years,Total,Euro area – 20 countries (from 2023),2009-Q2,13188.4,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 24 years,Total,Euro area – 20 countries (from 2023),2009-Q3,13463.1,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 24 years,Total,Euro area – 20 countries (from 2023),2009-Q4,12859.1,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 24 years,Total,Euro area – 20 countries (from 2023),2010-Q1,12349.8,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 24 years,Total,Euro area – 20 countries (from 2023),2010-Q2,12343.6,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 24 years,Total,Euro area – 20 countries (from 2023),2010-Q3,12796.6,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 24 years,Total,Euro area – 20 countries (from 2023),2010-Q4,12368.8,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 24 years,Total,Euro area – 20 countries (from 2023),2011-Q1,12006.5,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 24 years,Total,Euro area – 20 countries (from 2023),2011-Q2,12175.8,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 24 years,Total,Euro area – 20 countries (from 2023),2011-Q3,12577.1,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 24 years,Total,Euro area – 20 countries (from 2023),2011-Q4,12064.8,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 24 years,Total,Euro area – 20 countries (from 2023),2012-Q1,11522.9,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 24 years,Total,Euro area – 20 countries (from 2023),2012-Q2,11592.3,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 24 years,Total,Euro area – 20 countries (from 2023),2012-Q3,11948.5,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 24 years,Total,Euro area – 20 countries (from 2023),2012-Q4,11420.3,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 24 years,Total,Euro area – 20 countries (from 2023),2013-Q1,11084.0,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 24 years,Total,Euro area – 20 countries (from 2023),2013-Q2,11237.4,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 24 years,Total,Euro area – 20 countries (from 2023),2013-Q3,11619.7,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 24 years,Total,Euro area – 20 countries (from 2023),2013-Q4,11126.3,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 24 years,Total,Euro area – 20 countries (from 2023),2014-Q1,10830.6,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 24 years,Total,Euro area – 20 countries (from 2023),2014-Q2,11019.5,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 24 years,Total,Euro area – 20 countries (from 2023),2014-Q3,11495.0,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 24 years,Total,Euro area – 20 countries (from 2023),2014-Q4,11099.5,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 24 years,Total,Euro area – 20 countries (from 2023),2015-Q1,11014.5,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 24 years,Total,Euro area – 20 countries (from 2023),2015-Q2,10987.4,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 24 years,Total,Euro area – 20 countries (from 2023),2015-Q3,11392.9,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 24 years,Total,Euro area – 20 countries (from 2023),2015-Q4,11176.6,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 24 years,Total,Euro area – 20 countries (from 2023),2016-Q1,11023.5,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 24 years,Total,Euro area – 20 countries (from 2023),2016-Q2,11273.8,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 24 years,Total,Euro area – 20 countries (from 2023),2016-Q3,11733.1,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 24 years,Total,Euro area – 20 countries (from 2023),2016-Q4,11449.0,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 24 years,Total,Euro area – 20 countries (from 2023),2017-Q1,11227.3,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 24 years,Total,Euro area – 20 countries (from 2023),2017-Q2,11529.7,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 24 years,Total,Euro area – 20 countries (from 2023),2017-Q3,12109.3,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 24 years,Total,Euro area – 20 countries (from 2023),2017-Q4,11832.8,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 24 years,Total,Euro area – 20 countries (from 2023),2018-Q1,11575.8,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 24 years,Total,Euro area – 20 countries (from 2023),2018-Q2,11813.2,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 24 years,Total,Euro area – 20 countries (from 2023),2018-Q3,12333.7,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 24 years,Total,Euro area – 20 countries (from 2023),2018-Q4,12153.7,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 24 years,Total,Euro area – 20 countries (from 2023),2019-Q1,11938.1,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 24 years,Total,Euro area – 20 countries (from 2023),2019-Q2,12113.0,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 24 years,Total,Euro area – 20 countries (from 2023),2019-Q3,12514.9,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 24 years,Total,Euro area – 20 countries (from 2023),2019-Q4,12269.3,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 24 years,Total,Euro area – 20 countries (from 2023),2020-Q1,11991.1,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 24 years,Total,Euro area – 20 countries (from 2023),2020-Q2,11028.7,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 24 years,Total,Euro area – 20 countries (from 2023),2020-Q3,11801.6,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 24 years,Total,Euro area – 20 countries (from 2023),2020-Q4,11526.4,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 24 years,Total,Euro area – 20 countries (from 2023),2021-Q1,11159.4,b,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 24 years,Total,Euro area – 20 countries (from 2023),2021-Q2,11835.3,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 24 years,Total,Euro area – 20 countries (from 2023),2021-Q3,12818.4,,
ESTAT:LFSQ_EGAN(1.0),12/09/25 11:00:00,Quarterly,Thousand persons,Total,From 15 to 24 years,Total,Euro area – 20 countries (from 2023),2021-Q4,12580.8,,
